MEI,28.883597883597883
ACK,28.147540983606557
EGE,26.46260017809439
SWF,26.366545454545456
MQT,26.192251461988302
HTS,25.127551020408163
CMX,24.05037037037037
ACV,23.682297154899896
SHD,23.590975254730715
ASE,23.244550858652577
CKB,22.90711175616836
SLN,22.853982300884955
JMS,21.266233766233768
ITH,20.983870967741936
PLN,20.712523719165084
HYS,20.578859060402685
ORH,20.392592592592592
DLH,20.32181425485961
UIN,19.523076923076925
EWR,18.435955192525007
CIU,18.113464447806354
LWB,18.044444444444444
HDN,17.73371104815864
HPN,17.689618550314187
CGI,17.480477223427332
PAH,17.329795918367346
JAC,16.920965242417534
FAR,16.8071171682756
IMT,16.54420731707317
ABR,16.51366120218579
RDD,16.256756756756758
CRW,16.199498975176496
BGM,16.157279489904358
TTN,16.09279401767505
MFR,16.06131820637493
SUX,15.907823392718823
RAP,15.775065387968613
RDM,15.768969126111983
BTV,15.638132709485326
PSE,15.239263803680982
SBP,15.148176881303336
GRI,15.04147465437788
LGA,14.986604870629517
TVC,14.97838756677999
COS,14.838212947016514
COU,14.74234810415715
ORD,14.68775798853924
BQN,14.532632501095051
SBN,14.446068875893438
CAK,14.388139723801787
PRC,14.373793103448277
BGR,14.339663093415007
PIR,14.2241653418124
BOS,14.094129382943926
SJU,13.857456389298823
FLL,13.784047106927614
MCO,13.74661485344056
EAU,13.720289855072464
PBI,13.690026954177897
RST,13.685627836611195
CHO,13.659154437456325
PIB,13.62463768115942
MDW,13.61881520119225
SFO,13.609852897027919
DEN,13.575931035040737
HHH,13.45812356979405
SCE,13.450843513670739
LNK,13.431137724550899
SGF,13.40519378833355
CID,13.228209379441024
DFW,13.077739563367613
FSD,13.00768122899664
JLN,12.902548725637182
LAN,12.869606003752345
MTJ,12.65155807365439
JFK,12.644344094286446
FWA,12.644142721818756
HOU,12.631074594742326
PWM,12.626034958601656
ROA,12.619548286604362
PIA,12.575663026521061
IAH,12.571714743589743
ABY,12.545454545454545
MLI,12.471799672361339
ERI,12.468247248094835
MHK,12.464435146443515
AVL,12.29537263946951
RDU,12.217620374054915
GCC,12.048
MGM,11.989685124864279
MKG,11.944606413994169
SAV,11.933767441860464
LSE,11.830508474576272
STL,11.826426767488082
SPI,11.82002457002457
IAD,11.786516524871505
SBA,11.747257325371477
DAL,11.70725171663038
GTR,11.686706181202371
ALO,11.67313432835821
